model,n,events,auc,auc_ci_low,auc_ci_high,brier,ece,max_calibration_error,calibration_intercept,calibration_slope,youden_threshold,youden_sensitivity,youden_specificity,low_threshold,high_threshold,auc_probability_source,auc_calibrated,auc_calibrated_ci_low,auc_calibrated_ci_high,calibration_method,calibration,calibration_brier,brier_raw,calibration_brier_delta,raw_calibration_slope,raw_calibration_intercept,raw_ece,calibration_brier_full,optuna_best_params,optuna_best_score
Radiomics signature,187,33,0.7961432506887052,0.7135924666162761,0.874178783050341,0.1277525189282011,0.05539754769447673,0.3343887043015666,-17513554165.068974,-10881712558.021202,0.2222222222222222,0.5454545454545454,0.8636363636363636,0.0,0.216,raw_oof,0.7389807162534436,0.642839676874455,0.833301759046376,isotonic,isotonic,0.1277525189282011,0.1880565923126082,-0.0603040733844071,0.7472207615943958,-1.4493964721488912,0.2152789708884794,0.10853758334180845,"{'C': 35.528420709464484, 'l1_ratio': 0.3230325803466242}",0.7927807486631017
Clinical refit,187,33,0.5911058638331366,0.4812276416459884,0.6946529017537492,0.14919572282950747,0.04424592011017547,0.2551057659559438,409.8006647317325,290.60126564406187,0.16666666666666666,0.7272727272727273,0.48051948051948057,0.13,0.252,raw_oof,0.5205627705627706,0.41672297297297306,0.6211912686940266,isotonic,isotonic,0.14919572282950747,0.24122501045630934,-0.09202928762680188,0.2774498339683553,-1.5096227768129626,0.2819994548019281,0.13992665847456442,,
Radiomics + clinical refit,187,33,0.7532467532467533,0.6662874215683076,0.8367996283480712,0.13354560578431943,0.04665987201304292,0.5,574.5728428781482,348.9992343390483,0.14285714285714285,0.6666666666666666,0.7337662337662338,0.0,0.14200000000000002,raw_oof,0.725698543880362,0.6306086359338318,0.8148291405927511,isotonic,isotonic,0.13354560578431943,0.19444475199843977,-0.06089914621412035,0.3955197960938286,-1.383499152284368,0.19531342530529242,0.11862266274030982,"{'C': 25.352939136864673, 'l1_ratio': 0.2911188196068541}",0.7223707664884135
Radiomics + D-FRS pre-operative,187,33,0.7847304210940574,0.6999628450106157,0.8631431864808026,0.1282886106523499,0.06970939419033845,0.3775510204081632,-828312.4090484349,-484413.0272703046,0.125,0.8484848484848485,0.551948051948052,0.0,0.10400000000000001,raw_oof,0.7283549783549783,0.6369246480363547,0.8132074938786912,isotonic,isotonic,0.1282886106523499,0.18978783841330443,-0.06149922776095454,0.7474809077564692,-1.4370865286597994,0.21610367842693565,0.1128267298264484,"{'C': 7.46606058875583, 'l1_ratio': 0.42090842913505244}",0.7839709310297546
Radiomics + D-FRS intra-operative,187,33,0.7898465171192444,0.7089300860433451,0.8648743889682883,0.12933340238972146,0.04271882600712101,0.4337439363716179,710.6807589444721,497.167439092043,0.15151515151515152,0.8181818181818182,0.577922077922078,0.0,0.11800000000000001,raw_oof,0.7402597402597402,0.6502957159180998,0.8243260952484744,isotonic,isotonic,0.12933340238972146,0.18908442203397346,-0.059751019644252,0.6745396245011599,-1.4282226173859833,0.21278776028418475,0.11140348893737774,"{'C': 21.368329072358772, 'l1_ratio': 0.2743186887373967}",0.7817656200009141
Radiomics + DISPAIR,187,33,0.7870916961826053,0.7067148856193158,0.8649399447852286,0.12447227713802604,0.04801807224857094,0.6666666666666667,-36043.74119049737,-20838.258469807588,0.2857142857142857,0.5454545454545454,0.8896103896103896,0.0,0.202,raw_oof,0.7402597402597402,0.646039606146238,0.8309497091249423,isotonic,isotonic,0.12447227713802604,0.18991939490415527,-0.06544711776612923,0.7402041282264448,-1.4539328664500657,0.22119665154476206,0.10885314180768728,"{'C': 16.034463726648983, 'l1_ratio': 0.2046118563621691}",0.7910096439508205
Radiomics + DISPAIR refined,148,27,0.7725742271196816,0.6724439415538133,0.8627250489794057,0.13546396100110816,0.08568688334281405,0.6153846153846154,380.010814565427,255.52155577263184,0.1111111111111111,0.7777777777777778,0.6033057851239669,0.0,0.10200000000000001,raw_oof,0.7327823691460056,0.6240531513383347,0.8333465085638998,isotonic,isotonic,0.13546396100110816,0.19277857733570314,-0.057314616334594976,0.6176830148205787,-1.367859208365719,0.21366644210677233,0.11659159159159158,"{'C': 36.40277004760154, 'l1_ratio': 0.21818473461693577}",0.7387759710930443
Radiomics + all scores,187,33,0.777056277056277,0.6976548044000874,0.8517388342884499,0.137596470006701,0.0626901678342639,0.5,1131.1304065970248,824.7238293747574,0.15789473684210525,0.7878787878787878,0.551948051948052,0.0,0.15,raw_oof,0.720680834317198,0.6315325674133195,0.8060630187222544,isotonic,isotonic,0.137596470006701,0.18979703025393851,-0.052200560247237515,0.6501022901241135,-1.4331431663274847,0.2144727030491991,0.11656698654182138,"{'C': 3.9033349899119067, 'l1_ratio': 0.22413724361098314}",0.7635746606334841
D-FRS pre-operative,187,33,0.5150531286894924,0.3984876232078853,0.6253584252532657,0.33158690608026703,0.37456238658060703,0.739051484131223,-11279.379103731719,-86373.56938180752,0.6933674416613937,0.3333333333333333,0.7532467532467533,0.312,0.716,precomputed,0.5150531286894924,0.3984876232078853,0.6253584252532657,precomputed,precomputed,0.33158690608026703,0.33158690608026703,0.0,,,,0.33158690608026703,,
D-FRS intra-operative,187,33,0.5432900432900433,0.4294459660962619,0.6639951598411732,0.17242136452814086,0.1315662973465222,0.8378729877995708,91232600.85555421,47385682.424192965,0.08372908579142317,0.5454545454545454,0.6623376623376623,0.018000000000000002,0.082,precomputed,0.5432900432900433,0.4294459660962619,0.6639951598411732,precomputed,precomputed,0.17242136452814086,0.17242136452814086,0.0,,,,0.17242136452814086,,
DISPAIR-FRS,193,34,0.41897891231964485,0.3178144299785911,0.5183237379466816,0.17227189251132582,0.16569673226635914,0.7196674190713843,2156.0371096025397,916.5489186929923,0.0016787930123546482,1.0,0.05031446540880502,0.002,0.03,precomputed,0.41897891231964485,0.3178144299785911,0.5183237379466816,precomputed,precomputed,0.17227189251132582,0.17227189251132582,0.0,,,,0.17227189251132582,,
DISPAIR-FRS refined,148,27,0.5365779002142639,0.42747758572477196,0.6489970355731225,0.16117859347096256,0.08597859754421322,0.7447775375746749,-1.2504491908998212,0.14143948876520027,0.11127333813337643,0.7777777777777778,0.36363636363636365,0.10400000000000001,0.336,precomputed,0.5365779002142639,0.42747758572477196,0.6489970355731225,precomputed,precomputed,0.16117859347096256,0.16117859347096256,0.0,,,,0.16117859347096256,,
